States/UT,Current tobacco user,Type of current tobacco use - Smoked only,Type of current tobacco use - Smokeless only,Type of current tobacco use - Both smoked and smokeless,Non- user,Total
India,28.6,7.2,17.9,3.4,71.4,100
Jammu & Kashmir,23.7,19.4,2.9,1.4,76.3,100
Himachal Pradesh,16.1,13,1.9,1.2,83.9,100
Punjab,13.4,5.5,6.1,1.8,86.6,100
Chandigarh,13.7,7.6,4.3,1.8,86.3,100
Uttarakhand,26.5,14.2,8.4,3.9,73.5,100
Haryana,23.6,17.3,3.9,2.4,76.4,100
Delhi,17.8,8.9,6.5,2.3,82.2,100
Rajasthan,24.7,10.6,11.5,2.6,75.3,100
Uttar Pradesh,35.5,6.2,22,7.4,64.5,100
Chhattisgarh,39.1,3.1,33.7,2.4,60.9,100
Madhya Pradesh,34.2,6.1,24,4.1,65.8,100
West Bengal,33.5,13.5,16.9,3.2,66.5,100
Jharkhand,38.9,3.5,27.7,7.7,61.1,100
Odisha,45.6,2.8,38.6,4.3,54.4,100
Bihar,25.9,2.4,20.8,2.7,74.1,100
Sikkim,17.9,8.2,7,2.7,82.1,100
Arunachal Pradesh,45.5,6.2,22.9,16.5,54.5,100
Nagaland,43.3,4.3,30.1,8.9,56.7,100
Manipur,55.1,7.4,34.2,13.5,44.9,100
Mizoram,58.7,25.1,24.3,9.2,41.3,100
Tripura,64.5,16,36.8,11.7,35.5,100
Meghalaya,47,26.7,15.4,4.9,53,100
Assam,48.2,6.5,34.9,6.8,51.8,100
Gujarat,25.1,5.9,17.4,1.8,74.9,100
Maharashtra,26.6,2.2,22.8,1.6,73.4,100
Goa,9.7,3.2,5.5,1,90.3,100
Andhra Pradesh,20,12.8,5.7,1.4,80,100
Telangana,17.8,7.7,9.5,0.6,82.2,100
Karnataka,22.8,6.5,14,2.3,77.2,100
Kerala,12.7,7.3,3.4,2,87.3,100
Tamil Nadu,20,9.5,9.5,1,80,100
Puducherry,11.2,6.4,4,0.8,88.8,100
