State/UT,Prevalence of Hypertension1 Among Women Age 15 and Over,Prevalence of Hypertension1 Among Men Age 15 and Over,Percentage of Women Age 15 and Over with >140 mg/dl Blood Glucose Levels or Taking Medicine to Lower their Blood Glucose Level,Percentage of Men Age 15 and Over with >140 mg/dl Blood Glucose Levels or Taking Medicine to Lower their Blood Glucose Level,Percentage of Women Age 15-49 Years who are Obese (BMI ? 30.0 kg/m2),Percentage of Men Age 15-49 Years who are Obese (BMI ? 30.0 kg/m2),Children under 5 Years who are Overweight (Weight-for-Height)2 (In Percentage)
India,21.3,24,13.5,15.6,6.4,4,3.4
Andaman and Nicobar Islands,25.3,30.2,17.5,17.9,12.6,10.8,5.4
Andhra Pradesh,25.3,29,19.5,21.8,12,6.3,2.7
Arunachal Pradesh,24.9,33.1,8.4,11.9,3.8,3.6,9.6
Assam,19.1,20.3,12.8,16,2.5,1.9,4.8
Bihar,15.9,18.4,12.7,16.2,3.3,1.7,2.4
Chandigarh,25,30.6,19,16.6,16.3,8.6,1.8
Chhattisgarh,23.6,27.7,9,10.8,3.3,2.3,4
Dadra and Nagar Haveli and Daman and Diu,14.9,15.4,13.6,16.4,7,3.1,1.9
Delhi,24.1,32.7,12.2,14.1,14.2,6.9,4
Goa,27.5,26.8,20.8,24.1,9.5,2.8,2.8
Gujarat,20.5,20.3,15.8,16.9,6.9,4.4,3.9
Haryana,21,25.1,11.9,13.5,9.9,5.9,3.3
Himachal Pradesh,22.2,24.4,13.9,14.7,7.5,4.5,5.7
Jammu and Kashmir,20,18.9,8.7,8,4.8,3,9.6
Jharkhand,17.8,22.6,10.2,14.1,2.5,1.4,2.8
Karnataka,25,26.9,14,15.6,8.5,5.8,3.2
Kerala,30.9,32.8,24.8,27,9.8,6.7,4
Ladakh,15.7,17.4,6.7,8.3,3.2,2.9,13.4
Lakshadweep,24.8,24.7,19.5,20.7,6.9,5,10.5
Madhya Pradesh,20.6,22.7,9.8,12.2,3.7,2.6,2
Maharashtra,23.1,24.4,12.4,13.6,6.3,4.7,4.1
Manipur,23,33.2,13.6,16.5,7.4,3.9,3.3
Meghalaya,18.7,21.4,9.5,13.9,1.4,1.6,4
Mizoram,17.7,25.2,13.8,15.4,4.6,5.6,10
Nagaland,22.3,28.7,9.3,12.4,1.8,2.6,4.9
Odisha,22.4,25.6,14,17,5.2,4.1,3.5
Puducherry,23,30.1,20.1,21.7,18.2,9.2,3.8
Punjab,31.2,37.7,14.7,14.1,14.2,8.3,4.1
Rajasthan,15.3,17.9,7.2,8.9,2.7,1.2,3.3
Sikkim,34.5,41.6,12.2,15.7,6.9,5.8,9.6
Tamil Nadu,24.8,30.2,20.7,22.1,14.1,8.7,4.3
Telangana,26.1,31.4,14.7,18.1,8.9,7.5,3.4
Tripura,20.8,22.7,17.7,19.3,3.9,3,8.2
Uttar Pradesh,18.3,21.7,10,11.6,5.2,2.9,3.1
Uttarakhand,22.9,31.8,10.8,14.2,7.4,5,4.1
West Bengal,20.5,20.1,17.5,21.3,4.6,1.9,4.3
